worker_id,item_id,criteria,worker_answer,correct_answer,correct_classification
1,1,C1,Yes,Yes,0
1,2,C1,Yes,No,1
1,3,C1,Yes,Yes,1
1,4,C1,No,No,0
1,5,C1,No,Yes,1
1,1,C2,No,Yes,1
1,2,C2,Yes,No,0
1,3,C2,No,No,1
1,4,C2,Yes,Yes,1
1,1,C3,No,Yes,0
1,2,C3,Yes,Yes,1
1,3,C3,Yes,No,0
1,5,C3,No,No,1
2,1,C1,No,Yes,0
2,3,C1,Yes,Yes,1
2,4,C1,No,No,0
2,1,C2,Yes,Yes,1
2,2,C2,No,No,0
2,3,C2,Yes,No,1
2,5,C2,No,Yes,0
2,1,C3,No,Yes,0
2,2,C3,Yes,Yes,1
2,3,C3,Yes,No,0
2,4,C3,Yes,Yes,1
2,5,C3,No,No,1
3,1,C1,Yes,Yes,0
3,2,C1,Yes,No,1
3,3,C1,No,Yes,1
3,5,C1,Yes,Yes,1
3,2,C2,Yes,No,0
3,3,C2,No,No,1
3,4,C2,Yes,Yes,1
3,5,C2,No,Yes,0
3,1,C3,Yes,Yes,0
3,3,C3,No,No,0
3,4,C3,No,Yes,1
4,1,C1,Yes,Yes,0
4,2,C2,No,No,0
4,3,C2,Yes,No,1
4,1,C3,No,Yes,0
4,2,C3,No,Yes,1
4,3,C3,Yes,No,0
4,4,C3,Yes,Yes,1
5,2,C1,No,No,1
5,3,C1,Yes,Yes,1
5,4,C1,Yes,No,0
6,1,C1,Yes,Yes,0
6,3,C1,No,Yes,1
6,1,C2,No,Yes,1
6,2,C2,No,No ,0
6,3,C2,Yes,No,1
6,4,C2,Yes,Yes,1
6,5,C2,Yes,Yes,0
6,3,C3,Yes,No,0
6,4,C3,Yes,Yes,1
6,5,C3,No,No,1
